account_name,year,quarter,value,unit
통화스왑평가손실,2020,Q1,,KRW
통화스왑평가손실,2020,Q2,,KRW
통화스왑평가손실,2020,Q3,,KRW
통화스왑평가손실,2020,Q4,,KRW
통화스왑평가손실,2021,Q1,,KRW
통화스왑평가손실,2021,Q2,,KRW
통화스왑평가손실,2021,Q3,,KRW
통화스왑평가손실,2021,Q4,,KRW
통화스왑평가손실,2022,Q1,,KRW
통화스왑평가손실,2022,Q2,,KRW
통화스왑평가손실,2022,Q3,,KRW
통화스왑평가손실,2022,Q4,,KRW
통화스왑평가손실,2023,Q1,,KRW
통화스왑평가손실,2023,Q2,,KRW
통화스왑평가손실,2023,Q3,,KRW
통화스왑평가손실,2023,Q4,,KRW
통화스왑평가손실,2024,Q1,,KRW
통화스왑평가손실,2024,Q2,,KRW
통화스왑평가손실,2024,Q3,,KRW
통화스왑평가손실,2024,Q4,,KRW
통화스왑평가손실,2025,Q1,,KRW
통화스왑평가손실,2025,Q2,,KRW
통화스왑평가손실,2025,Q3,,KRW
통화스왑평가이익,2020,Q1,,KRW
통화스왑평가이익,2020,Q2,,KRW
통화스왑평가이익,2020,Q3,,KRW
통화스왑평가이익,2020,Q4,,KRW
통화스왑평가이익,2021,Q1,,KRW
통화스왑평가이익,2021,Q2,,KRW
통화스왑평가이익,2021,Q3,,KRW
통화스왑평가이익,2021,Q4,,KRW
통화스왑평가이익,2022,Q1,,KRW
통화스왑평가이익,2022,Q2,,KRW
통화스왑평가이익,2022,Q3,,KRW
통화스왑평가이익,2022,Q4,,KRW
통화스왑평가이익,2023,Q1,,KRW
통화스왑평가이익,2023,Q2,,KRW
통화스왑평가이익,2023,Q3,,KRW
통화스왑평가이익,2023,Q4,,KRW
통화스왑평가이익,2024,Q1,,KRW
통화스왑평가이익,2024,Q2,,KRW
통화스왑평가이익,2024,Q3,,KRW
통화스왑평가이익,2024,Q4,,KRW
통화스왑평가이익,2025,Q1,,KRW
통화스왑평가이익,2025,Q2,,KRW
통화스왑평가이익,2025,Q3,,KRW
파생상품평가손실,2020,Q1,7377840420,KRW
파생상품평가손실,2020,Q2,6646830500,KRW
파생상품평가손실,2020,Q3,629606650,KRW
파생상품평가손실,2020,Q4,173297276,KRW
파생상품평가손실,2021,Q1,,KRW
파생상품평가손실,2021,Q2,,KRW
파생상품평가손실,2021,Q3,488425994,KRW
파생상품평가손실,2021,Q4,,KRW
파생상품평가손실,2022,Q1,323785615,KRW
파생상품평가손실,2022,Q2,892519602,KRW
파생상품평가손실,2022,Q3,581166163,KRW
파생상품평가손실,2022,Q4,38504740629,KRW
파생상품평가손실,2023,Q1,2795048158,KRW
파생상품평가손실,2023,Q2,1083531962,KRW
파생상품평가손실,2023,Q3,1325087372,KRW
파생상품평가손실,2023,Q4,1.13131E+11,KRW
파생상품평가손실,2024,Q1,4887012992,KRW
파생상품평가손실,2024,Q2,815408840,KRW
파생상품평가손실,2024,Q3,1272405253,KRW
파생상품평가손실,2024,Q4,1680641442,KRW
파생상품평가손실,2025,Q1,747510157,KRW
파생상품평가손실,2025,Q2,,KRW
파생상품평가손실,2025,Q3,73656401000,KRW
파생상품평가이익,2020,Q1,46203167655,KRW
파생상품평가이익,2020,Q2,57734077029,KRW
파생상품평가이익,2020,Q3,53031340440,KRW
파생상품평가이익,2020,Q4,43471181686,KRW
파생상품평가이익,2021,Q1,17881496533,KRW
파생상품평가이익,2021,Q2,36726004707,KRW
파생상품평가이익,2021,Q3,52871793226,KRW
파생상품평가이익,2021,Q4,71063090818,KRW
파생상품평가이익,2022,Q1,14833964679,KRW
파생상품평가이익,2022,Q2,26433161947,KRW
파생상품평가이익,2022,Q3,34558454145,KRW
파생상품평가이익,2022,Q4,10219879779,KRW
파생상품평가이익,2023,Q1,28988941184,KRW
파생상품평가이익,2023,Q2,44563277600,KRW
파생상품평가이익,2023,Q3,63443772148,KRW
파생상품평가이익,2023,Q4,13101778412,KRW
파생상품평가이익,2024,Q1,6092540860,KRW
파생상품평가이익,2024,Q2,9047744673,KRW
파생상품평가이익,2024,Q3,6437056326,KRW
파생상품평가이익,2024,Q4,12063752856,KRW
파생상품평가이익,2025,Q1,,KRW
파생상품평가이익,2025,Q2,227476327,KRW
파생상품평가이익,2025,Q3,5442258956,KRW
파생상품거래손실,2020,Q1,235048732,KRW
