재무계정,사업부,상세항목,기간,수치,단위
당기순이익,전사(공통),당기순이익 (총계),2023-09-30,11,백만원
당기순이익,전사(공통),당기순익률(%),2023-09-30,0.001,백만원
당기순이익,전사(공통),QoQ(%),2023-09-30,-0.083,백만원
당기순이익,전사(공통),YoY(%),2023-09-30,흑자전환,백만원
당기순이익,전사(공통),지배순이익,2023-09-30,47,백만원
매출액,전사(공통),매출액 (총계),2023-12-31,1582,백만원
매출액,전사(공통),QoQ(%),2023-12-31,0,백만원
매출액,전사(공통),YoY(%),2023-12-31,-0.009,백만원
매출액,실리콘,실리콘,2023-12-31,684,백만원
매출액,건자재,건자재,2023-12-31,295,백만원
매출액,도료,도료,2023-12-31,454,백만원
매출액,기타,기타,2023-12-31,150,백만원
영업이익,전사(공통),영업이익 (총계),2023-12-31,58,백만원
영업이익,전사(공통),영업이익률(%),2023-12-31,0.004,백만원
영업이익,전사(공통),QoQ(%),2023-12-31,-0.036,백만원
영업이익,전사(공통),YoY(%),2023-12-31,-0.04,백만원
영업이익,실리콘,영업이익,2023-12-31,-42,백만원
영업이익,실리콘,영업이익률(%),2023-12-31,-0.006,백만원
영업이익,실리콘,QoQ(%),2023-12-31,적자지속,백만원
영업이익,실리콘,YoY(%),2023-12-31,적자전환,백만원
영업이익,건자재,영업이익,2023-12-31,52,백만원
영업이익,건자재,영업이익률(%),2023-12-31,0.018,백만원
영업이익,건자재,QoQ(%),2023-12-31,0.01,백만원
영업이익,건자재,YoY(%),2023-12-31,0.074,백만원
영업이익,도료,영업이익,2023-12-31,47,백만원
영업이익,도료,영업이익률(%),2023-12-31,0.01,백만원
영업이익,도료,QoQ(%),2023-12-31,-0.002,백만원
영업이익,도료,YoY(%),2023-12-31,0.117,백만원
영업이익,기타,영업이익,2023-12-31,-5,백만원
영업이익,기타,영업이익률(%),2023-12-31,-0.004,백만원
영업이익,기타,QoQ(%),2023-12-31,적자전환,백만원
영업이익,기타,YoY(%),2023-12-31,적자지속,백만원
당기순이익,전사(공통),당기순이익 (총계),2023-12-31,-16,백만원
당기순이익,전사(공통),당기순익률(%),2023-12-31,-0.001,백만원
당기순이익,전사(공통),QoQ(%),2023-12-31,적자전환,백만원
당기순이익,전사(공통),YoY(%),2023-12-31,적자지속,백만원
당기순이익,전사(공통),지배순이익,2023-12-31,67,백만원
매출액,전사(공통),매출액 (총계),2024-03-31,1588,백만원
매출액,전사(공통),QoQ(%),2024-03-31,0,백만원
매출액,전사(공통),YoY(%),2024-03-31,0.002,백만원
매출액,실리콘,실리콘,2024-03-31,739,백만원
매출액,건자재,건자재,2024-03-31,265,백만원
매출액,도료,도료,2024-03-31,419,백만원
매출액,기타,기타,2024-03-31,166,백만원
영업이익,전사(공통),영업이익 (총계),2024-03-31,107,백만원
영업이익,전사(공통),영업이익률(%),2024-03-31,0.007,백만원
영업이익,전사(공통),QoQ(%),2024-03-31,0.085,백만원
영업이익,전사(공통),YoY(%),2024-03-31,0.041,백만원
영업이익,실리콘,영업이익,2024-03-31,3,백만원
영업이익,실리콘,영업이익률(%),2024-03-31,0,백만원
영업이익,실리콘,QoQ(%),2024-03-31,흑자전환,백만원
영업이익,실리콘,YoY(%),2024-03-31,-0.079,백만원
영업이익,건자재,영업이익,2024-03-31,44,백만원
영업이익,건자재,영업이익률(%),2024-03-31,0.017,백만원
영업이익,건자재,QoQ(%),2024-03-31,-0.015,백만원
영업이익,건자재,YoY(%),2024-03-31,0.027,백만원
영업이익,도료,영업이익,2024-03-31,55,백만원
영업이익,도료,영업이익률(%),2024-03-31,0.013,백만원
영업이익,도료,QoQ(%),2024-03-31,0.017,백만원
영업이익,도료,YoY(%),2024-03-31,0.161,백만원
영업이익,기타,영업이익,2024-03-31,-0.987,백만원
영업이익,기타,영업이익률(%),2024-03-31,-0.001,백만원
영업이익,기타,QoQ(%),2024-03-31,적자지속,백만원
영업이익,기타,YoY(%),2024-03-31,적자지속,백만원
당기순이익,전사(공통),당기순이익 (총계),2024-03-31,458,백만원
당기순이익,전사(공통),당기순익률(%),2024-03-31,0.029,백만원
당기순이익,전사(공통),QoQ(%),2024-03-31,-3,백만원
당기순이익,전사(공통),YoY(%),2024-03-31,흑자전환,백만원
당기순이익,전사(공통),지배순이익,2024-03-31,476,백만원
매출액,전사(공통),매출액 (총계),2024-06-30,1779,백만원
매출액,전사(공통),QoQ(%),2024-06-30,0.012,백만원
매출액,전사(공통),YoY(%),2024-06-30,0.012,백만원
매출액,실리콘,실리콘,2024-06-30,785,백만원
매출액,건자재,건자재,2024-06-30,293,백만원
매출액,도료,도료,2024-06-30,522,백만원
매출액,기타,기타,2024-06-30,179,백만원
영업이익,전사(공통),영업이익 (총계),2024-06-30,141,백만원
영업이익,전사(공통),영업이익률(%),2024-06-30,0.008,백만원
영업이익,전사(공통),QoQ(%),2024-06-30,0.032,백만원
영업이익,전사(공통),YoY(%),2024-06-30,0.056,백만원
영업이익,실리콘,영업이익,2024-06-30,18,백만원
영업이익,실리콘,영업이익률(%),2024-06-30,0.002,백만원
영업이익,실리콘,QoQ(%),2024-06-30,0.571,백만원
영업이익,실리콘,YoY(%),2024-06-30,흑자전환,백만원
영업이익,건자재,영업이익,2024-06-30,54,백만원
영업이익,건자재,영업이익률(%),2024-06-30,0.018,백만원
영업이익,건자재,QoQ(%),2024-06-30,0.02,백만원
영업이익,건자재,YoY(%),2024-06-30,0.013,백만원
영업이익,도료,영업이익,2024-06-30,66,백만원
영업이익,도료,영업이익률(%),2024-06-30,0.013,백만원
