분류,항목,기간,수치,단위
손익계산서(연결),비지배지분,2023-12-31,-1.2016E+11,원
손익계산서(연결),지배기업소유주지분,2023-12-31,1.18411E+11,원
손익계산서(연결),비지배지분,2023-12-31,-1.63187E+11,원
손익계산서(연결),기본주당이익(손실),2023-12-31,28917,원
손익계산서(연결),희석주당이익(손실),2023-12-31,28917,원
손익계산서(연결),매출액,2024-12-31,6.65876E+12,원
손익계산서(연결),매출원가,2024-12-31,5.02804E+12,원
손익계산서(연결),매출총이익,2024-12-31,1.63072E+12,원
손익계산서(연결),판매비와관리비,2024-12-31,1.1596E+12,원
손익계산서(연결),영업이익,2024-12-31,4.71118E+11,원
손익계산서(연결),지분법손익,2024-12-31,72334833254,원
손익계산서(연결),순금융손익,2024-12-31,-60460337713,원
손익계산서(연결),금융수익,2024-12-31,7.09372E+11,원
손익계산서(연결),금융원가,2024-12-31,7.69833E+11,원
손익계산서(연결),기타영업외손익,2024-12-31,-13124086032,원
손익계산서(연결),기타이익,2024-12-31,42801762099,원
손익계산서(연결),기타손실,2024-12-31,55925848131,원
손익계산서(연결),법인세비용차감전이익,2024-12-31,4.69869E+11,원
손익계산서(연결),법인세비용(수익),2024-12-31,1.76574E+11,원
손익계산서(연결),당기순손익,2024-12-31,2.93295E+11,원
손익계산서(연결),기타포괄손익,2024-12-31,-3676417519,원
손익계산서(연결),후속기간에 당기손익으로 재분류되는 항목,2024-12-31,-18472472412,원
손익계산서(연결),지분법자본변동,2024-12-31,-50989265531,원
손익계산서(연결),현금흐름위험회피,2024-12-31,-23135727410,원
손익계산서(연결),해외사업환산손익,2024-12-31,55652520529,원
손익계산서(연결),후속기간에 당기손익으로 재분류되지 않는 항목,2024-12-31,14796054893,원
손익계산서(연결),확정급여제도의 재측정요소,2024-12-31,16709577155,원
손익계산서(연결),지분법이익잉여금변동,2024-12-31,-142857779,원
손익계산서(연결),기타포괄손익-공정가치측정금융자산평가이익(손실),2024-12-31,-1770664483,원
손익계산서(연결),총포괄손익,2024-12-31,2.89618E+11,원
손익계산서(연결),지배기업소유주지분,2024-12-31,3.10568E+11,원
손익계산서(연결),비지배지분,2024-12-31,-17273515790,원
손익계산서(연결),지배기업소유주지분,2024-12-31,3.23443E+11,원
손익계산서(연결),비지배지분,2024-12-31,-33824740541,원
손익계산서(연결),기본주당이익(손실),2024-12-31,42230,원
손익계산서(연결),희석주당이익(손실),2024-12-31,42230,원
손익계산서(연결),매출액,2025-03-31,1.59931E+12,원
손익계산서(연결),매출원가,2025-03-31,1.2044E+12,원
손익계산서(연결),매출총이익,2025-03-31,3.94909E+11,원
손익계산서(연결),판매비와관리비,2025-03-31,2.91466E+11,원
손익계산서(연결),영업이익,2025-03-31,1.03444E+11,원
손익계산서(연결),지분법손익,2025-03-31,6099351127,원
손익계산서(연결),순금융손익,2025-03-31,-50669574461,원
손익계산서(연결),금융수익,2025-03-31,1.79436E+11,원
손익계산서(연결),금융원가,2025-03-31,2.30105E+11,원
손익계산서(연결),기타영업외손익,2025-03-31,16521803816,원
손익계산서(연결),기타이익,2025-03-31,44443332797,원
손익계산서(연결),기타손실,2025-03-31,27921528981,원
손익계산서(연결),법인세비용차감전이익,2025-03-31,75395420887,원
손익계산서(연결),법인세비용(수익),2025-03-31,31345333788,원
손익계산서(연결),당기순손익,2025-03-31,44050087099,원
손익계산서(연결),기타포괄손익,2025-03-31,1.01641E+12,원
손익계산서(연결),후속기간에 당기손익으로 재분류되는 항목,2025-03-31,64913101134,원
손익계산서(연결),지분법자본변동,2025-03-31,49012307869,원
손익계산서(연결),해외사업환산손익,2025-03-31,61223403474,원
손익계산서(연결),후속기간에 당기손익으로 재분류되지 않는 항목,2025-03-31,9.51498E+11,원
손익계산서(연결),지분법이익잉여금변동,2025-03-31,1026469988,원
손익계산서(연결),기타포괄손익-공정가치측정금융자산평가이익(손실),2025-03-31,-2268839458,원
손익계산서(연결),재평가이익,2025-03-31,9.07418E+11,원
손익계산서(연결),총포괄손익,2025-03-31,1.06046E+12,원
손익계산서(연결),지배기업소유주지분,2025-03-31,44050087099,원
손익계산서(연결),지배기업소유주지분,2025-03-31,1.06046E+12,원
손익계산서(연결),기본주당이익(손실),2025-03-31,5990,원
손익계산서(연결),희석주당이익(손실),2025-03-31,5990,원
손익계산서(연결),매출액,2025-06-30,3.30457E+12,원
손익계산서(연결),매출원가,2025-06-30,2.47239E+12,원
손익계산서(연결),매출총이익,2025-06-30,8.32177E+11,원
손익계산서(연결),판매비와관리비,2025-06-30,5.88353E+11,원
손익계산서(연결),영업이익,2025-06-30,2.43825E+11,원
손익계산서(연결),지분법손익,2025-06-30,8883977581,원
손익계산서(연결),순금융손익,2025-06-30,1.07861E+12,원
손익계산서(연결),금융수익,2025-06-30,1.43189E+12,원
손익계산서(연결),금융원가,2025-06-30,3.53277E+11,원
손익계산서(연결),기타영업외손익,2025-06-30,10842257218,원
손익계산서(연결),기타이익,2025-06-30,56358541666,원
손익계산서(연결),기타손실,2025-06-30,45516284448,원
손익계산서(연결),법인세비용차감전이익,2025-06-30,1.34216E+12,원
손익계산서(연결),법인세비용(수익),2025-06-30,4.04843E+11,원
손익계산서(연결),당기순손익,2025-06-30,9.37321E+11,원
손익계산서(연결),기타포괄손익,2025-06-30,9.32145E+11,원
손익계산서(연결),후속기간에 당기손익으로 재분류되는 항목,2025-06-30,-21406304856,원
손익계산서(연결),지분법자본변동,2025-06-30,48092665988,원
손익계산서(연결),해외사업환산손익,2025-06-30,-24176360635,원
손익계산서(연결),후속기간에 당기손익으로 재분류되지 않는 항목,2025-06-30,9.53551E+11,원
손익계산서(연결),지분법이익잉여금변동,2025-06-30,1001743515,원
손익계산서(연결),기타포괄손익-공정가치측정금융자산평가이익(손실),2025-06-30,-1520315872,원
손익계산서(연결),재평가이익,2025-06-30,9.08747E+11,원
손익계산서(연결),총포괄손익,2025-06-30,1.86947E+12,원
손익계산서(연결),지배기업소유주지분,2025-06-30,9.37321E+11,원
손익계산서(연결),지배기업소유주지분,2025-06-30,1.86947E+12,원
손익계산서(연결),기본주당이익(손실),2025-06-30,127454,원
손익계산서(연결),희석주당이익(손실),2025-06-30,127454,원
손익계산서(연결),매출액,2025-09-30,4.9274E+12,원
손익계산서(연결),매출원가,2025-09-30,3.67865E+12,원
손익계산서(연결),매출총이익,2025-09-30,1.24876E+12,원
손익계산서(연결),판매비와관리비,2025-09-30,8.87667E+11,원
손익계산서(연결),영업이익,2025-09-30,3.61088E+11,원
손익계산서(연결),지분법손익,2025-09-30,8678955793,원
손익계산서(연결),순금융손익,2025-09-30,1.44289E+12,원
손익계산서(연결),금융수익,2025-09-30,1.97212E+12,원
손익계산서(연결),금융원가,2025-09-30,5.29224E+11,원
손익계산서(연결),기타영업외손익,2025-09-30,8890965122,원
손익계산서(연결),기타이익,2025-09-30,66417793246,원
손익계산서(연결),기타손실,2025-09-30,57526828124,원
손익계산서(연결),법인세비용차감전이익,2025-09-30,1.82155E+12,원
손익계산서(연결),법인세비용(수익),2025-09-30,5.57894E+11,원
손익계산서(연결),당기순손익,2025-09-30,1.26366E+12,원
손익계산서(연결),기타포괄손익,2025-09-30,9.94666E+11,원
손익계산서(연결),후속기간에 당기손익으로 재분류되는 항목,2025-09-30,45996657950,원
손익계산서(연결),지분법자본변동,2025-09-30,49283382282,원
손익계산서(연결),해외사업환산손익,2025-09-30,41951143981,원
손익계산서(연결),후속기간에 당기손익으로 재분류되지 않는 항목,2025-09-30,9.4867E+11,원
손익계산서(연결),지분법이익잉여금변동,2025-09-30,2950480930,원
손익계산서(연결),기타포괄손익-공정가치측정금융자산평가이익(손실),2025-09-30,-3437266519,원
손익계산서(연결),재평가이익,2025-09-30,9.03918E+11,원
손익계산서(연결),총포괄손익,2025-09-30,2.25833E+12,원
손익계산서(연결),지배기업소유주지분,2025-09-30,1.26366E+12,원
손익계산서(연결),지배기업소유주지분,2025-09-30,2.25833E+12,원
손익계산서(연결),기본주당이익(손실),2025-09-30,171829,원
손익계산서(연결),희석주당이익(손실),2025-09-30,171829,원
