분류,항목,기간,수치
매출액,실리콘,1Q25,774082
매출액,건자재,1Q25,232274
매출액,도료,1Q25,457571
매출액,기타,1Q25,135378
영업이익,영업이익 (총계),1Q25,103444
영업이익,영업이익률(%),1Q25,6.5
영업이익,QoQ(%),1Q25,5.2
영업이익,YoY(%),1Q25,(3.2)
영업이익 - 실리콘,실리콘 영업이익,1Q25,20597
영업이익 - 실리콘,영업이익률(%),1Q25,2.7
영업이익 - 실리콘,QoQ(%),1Q25,(20.5)
영업이익 - 실리콘,YoY(%),1Q25,651.3
영업이익 - 건자재,건자재 영업이익,1Q25,23742
영업이익 - 건자재,영업이익률(%),1Q25,10.2
영업이익 - 건자재,QoQ(%),1Q25,(32.0)
영업이익 - 건자재,YoY(%),1Q25,(46.6)
영업이익 - 도료,도료 영업이익,1Q25,55922
영업이익 - 도료,영업이익률(%),1Q25,12.2
영업이익 - 도료,QoQ(%),1Q25,41.3
영업이익 - 도료,YoY(%),1Q25,2.4
영업이익 - 기타,기타 영업이익,1Q25,-4403
영업이익 - 기타,영업이익률(%),1Q25,(3.3)
영업이익 - 기타,QoQ(%),1Q25,적자지속
영업이익 - 기타,YoY(%),1Q25,적자지속
당기순이익,당기순이익 (총계),1Q25,44050
당기순이익,당기순익률(%),1Q25,2.8
당기순이익,QoQ(%),1Q25,흑자전환
당기순이익,YoY(%),1Q25,(90.4)
당기순이익,지배순이익,1Q25,44050
매출액,매출액 (총계),2Q25,1705264
매출액,QoQ(%),2Q25,6.6
매출액,YoY(%),2Q25,(4.1)
매출액,실리콘,2Q25,796788
매출액,건자재,2Q25,251894
매출액,도료,2Q25,518103
매출액,기타,2Q25,138479
영업이익,영업이익 (총계),2Q25,140381
영업이익,영업이익률(%),2Q25,8.2
영업이익,QoQ(%),2Q25,35.7
영업이익,YoY(%),2Q25,(0.1)
영업이익 - 실리콘,실리콘 영업이익,2Q25,40893
영업이익 - 실리콘,영업이익률(%),2Q25,5.1
영업이익 - 실리콘,QoQ(%),2Q25,98.5
영업이익 - 실리콘,YoY(%),2Q25,122.2
영업이익 - 건자재,건자재 영업이익,2Q25,31920
영업이익 - 건자재,영업이익률(%),2Q25,12.7
영업이익 - 건자재,QoQ(%),2Q25,34.4
영업이익 - 건자재,YoY(%),2Q25,(40.3)
영업이익 - 도료,도료 영업이익,2Q25,64672
영업이익 - 도료,영업이익률(%),2Q25,12.5
영업이익 - 도료,QoQ(%),2Q25,15.6
영업이익 - 도료,YoY(%),2Q25,(2.1)
영업이익 - 기타,기타 영업이익,2Q25,-911
영업이익 - 기타,영업이익률(%),2Q25,(0.7)
영업이익 - 기타,QoQ(%),2Q25,적자지속
영업이익 - 기타,YoY(%),2Q25,적자지속
당기순이익,당기순이익 (총계),2Q25,893271
당기순이익,당기순익률(%),2Q25,52.4
당기순이익,QoQ(%),2Q25,1927.9
당기순이익,YoY(%),2Q25,흑자전환
당기순이익,지배순이익,2Q25,893271
매출액,매출액 (총계),3Q25,1622833
매출액,QoQ(%),3Q25,(4.8)
매출액,YoY(%),3Q25,(0.7)
매출액,실리콘,3Q25,749084
매출액,건자재,3Q25,246977
매출액,도료,3Q25,482818
매출액,기타,3Q25,143954
영업이익,영업이익 (총계),3Q25,117264
영업이익,영업이익률(%),3Q25,7.2
영업이익,QoQ(%),3Q25,(16.5)
영업이익,YoY(%),3Q25,(6.4)
영업이익 - 실리콘,실리콘 영업이익,3Q25,21408
영업이익 - 실리콘,영업이익률(%),3Q25,2.9
영업이익 - 실리콘,QoQ(%),3Q25,(47.6)
영업이익 - 실리콘,YoY(%),3Q25,(17.3)
영업이익 - 건자재,건자재 영업이익,3Q25,33462
영업이익 - 건자재,영업이익률(%),3Q25,13.5
영업이익 - 건자재,QoQ(%),3Q25,4.8
영업이익 - 건자재,YoY(%),3Q25,(18.0)
영업이익 - 도료,도료 영업이익,3Q25,56958
영업이익 - 도료,영업이익률(%),3Q25,11.8
영업이익 - 도료,QoQ(%),3Q25,(11.9)
영업이익 - 도료,YoY(%),3Q25,(0.1)
영업이익 - 기타,기타 영업이익,3Q25,-275
영업이익 - 기타,영업이익률(%),3Q25,(0.2)
영업이익 - 기타,QoQ(%),3Q25,적자지속
영업이익 - 기타,YoY(%),3Q25,적자지속
당기순이익,당기순이익 (총계),3Q25,326338
당기순이익,당기순익률(%),3Q25,20.1
당기순이익,QoQ(%),3Q25,(63.5)
당기순이익,YoY(%),3Q25,흑자전환
당기순이익,지배순이익,3Q25,326338
매출액,매출액 (총계),4Q25,1556418
매출액,QoQ(%),4Q25,(4.1)
매출액,YoY(%),4Q25,(6.1)
매출액,실리콘,4Q25,747174
매출액,건자재,4Q25,235436
매출액,도료,4Q25,451337
매출액,기타,4Q25,122471
영업이익,영업이익 (총계),4Q25,66527
영업이익,영업이익률(%),4Q25,4.3
영업이익,QoQ(%),4Q25,(43.3)
영업이익,YoY(%),4Q25,(32.3)
영업이익 - 실리콘,실리콘 영업이익,4Q25,-1845
영업이익 - 실리콘,영업이익률(%),4Q25,(0.2)
영업이익 - 실리콘,QoQ(%),4Q25,적자전환
영업이익 - 실리콘,YoY(%),4Q25,적자전환
영업이익 - 건자재,건자재 영업이익,4Q25,25972
영업이익 - 건자재,영업이익률(%),4Q25,11.0
영업이익 - 건자재,QoQ(%),4Q25,(22.4)
영업이익 - 건자재,YoY(%),4Q25,(25.6)
영업이익 - 도료,도료 영업이익,4Q25,41890
영업이익 - 도료,영업이익률(%),4Q25,9.3
영업이익 - 도료,QoQ(%),4Q25,(26.5)
영업이익 - 도료,YoY(%),4Q25,5.8
영업이익 - 기타,기타 영업이익,4Q25,-5265
영업이익 - 기타,영업이익률(%),4Q25,(4.3)
영업이익 - 기타,QoQ(%),4Q25,적자지속
영업이익 - 기타,YoY(%),4Q25,적자지속
당기순이익,당기순이익 (총계),4Q25,274837
당기순이익,당기순익률(%),4Q25,17.7
당기순이익,QoQ(%),4Q25,(15.8)
당기순이익,YoY(%),4Q25,흑자전환
당기순이익,지배순이익,4Q25,274837
