데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,search_tag,search_text
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,비지배지분,236341,백만원,2024Q1|재무상태표|비지배지분|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 비지배지분 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,사용권자산,198360,백만원,2024Q1|재무상태표|사용권자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 사용권자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,선급금,18974,백만원,2024Q1|재무상태표|선급금|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 선급금 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,선급비용,35927,백만원,2024Q1|재무상태표|선급비용|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 선급비용 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,순확정급여부채,314569,백만원,2024Q1|재무상태표|순확정급여부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 순확정급여부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,순확정급여자산,1044,백만원,2024Q1|재무상태표|순확정급여자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 순확정급여자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,영업권,927840,백만원,2024Q1|재무상태표|영업권|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 영업권 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,유동부채,3512624,백만원,2024Q1|재무상태표|유동부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 유동부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,유동성사채,369893,백만원,2024Q1|재무상태표|유동성사채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 유동성사채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,유동성장기차입금,286455,백만원,2024Q1|재무상태표|유동성장기차입금|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 유동성장기차입금 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,유동자산,4390978,백만원,2024Q1|재무상태표|유동자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 유동자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,유동충당부채,21293,백만원,2024Q1|재무상태표|유동충당부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 유동충당부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,유형자산,3461535,백만원,2024Q1|재무상태표|유형자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 유형자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,이연법인세부채,601509,백만원,2024Q1|재무상태표|이연법인세부채|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 이연법인세부채 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,이연법인세자산,16195,백만원,2024Q1|재무상태표|이연법인세자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 이연법인세자산 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,이익잉여금,5321775,백만원,2024Q1|재무상태표|이익잉여금|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 이익잉여금 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,자본금,48085,백만원,2024Q1|재무상태표|자본금|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 자본금 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,자본잉여금,552913,백만원,2024Q1|재무상태표|자본잉여금|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 자본잉여금 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,자본조정,-304847,백만원,2024Q1|재무상태표|자본조정|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 자본조정 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,자본총계,5841810,백만원,2024Q1|재무상태표|자본총계|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 자본총계 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,자산총계,14103485,백만원,2024Q1|재무상태표|자산총계|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 자산총계 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,장기기타채권,82594,백만원,2024Q1|재무상태표|장기기타채권|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 장기기타채권 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,장기매출채권,837,백만원,2024Q1|재무상태표|장기매출채권|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 장기매출채권 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,장기선급비용,8265,백만원,2024Q1|재무상태표|장기선급비용|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 장기선급비용 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,장기차입금,2230189,백만원,2024Q1|재무상태표|장기차입금|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 장기차입금 | 백만원
재무상태표,2024-01-01,2024,Q1,2024 Q1,전사,연결재무상태표,재고자산,1418845,백만원,2024Q1|재무상태표|재고자산|백만원,2024 Q1 | 2024-01-01 | 재무상태표 | 재고자산 | 백만원
