재무제표,계정과목,기간,연도,분기,기간표준,금액,단위,search_tag
연결손익계산서,기타손실,2Q23,2023,Q2,2023 Q2,-25786,백만원,2023Q2|연결손익계산서|기타손실
연결손익계산서,법인세비용차감전순손익,2Q23,2023,Q2,2023 Q2,118363,백만원,2023Q2|연결손익계산서|법인세비용차감전순손익
연결손익계산서,법인세비용(수익),2Q23,2023,Q2,2023 Q2,51040,백만원,2023Q2|연결손익계산서|법인세비용(수익)
연결손익계산서,당기순손익,2Q23,2023,Q2,2023 Q2,67324,백만원,2023Q2|연결손익계산서|당기순손익
연결손익계산서,기타포괄손익,2Q23,2023,Q2,2023 Q2,-75282,백만원,2023Q2|연결손익계산서|기타포괄손익
연결손익계산서,지분법자본변동?,2Q23,2023,Q2,2023 Q2,-10940,백만원,2023Q2|연결손익계산서|지분법자본변동?
연결손익계산서,현금흐름위험회피,2Q23,2023,Q2,2023 Q2,-16303,백만원,2023Q2|연결손익계산서|현금흐름위험회피
연결손익계산서,해외사업환산손익 등,2Q23,2023,Q2,2023 Q2,-50129,백만원,2023Q2|연결손익계산서|해외사업환산손익 등
연결손익계산서,확정급여제도의 재측정요소,2Q23,2023,Q2,2023 Q2,1,백만원,2023Q2|연결손익계산서|확정급여제도의 재측정요소
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q23,2023,Q2,2023 Q2,2089,백만원,2023Q2|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)
연결손익계산서,총포괄손익,2Q23,2023,Q2,2023 Q2,-7958,백만원,2023Q2|연결손익계산서|총포괄손익
연결손익계산서,지배기업소유주지분,2Q23,2023,Q2,2023 Q2,90993,백만원,2023Q2|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,2Q23,2023,Q2,2023 Q2,-23669,백만원,2023Q2|연결손익계산서|비지배지분
연결손익계산서,지배기업소유주지분,2Q23,2023,Q2,2023 Q2,37431,백만원,2023Q2|연결손익계산서|지배기업소유주지분
연결손익계산서,비지배지분,2Q23,2023,Q2,2023 Q2,-45389,백만원,2023Q2|연결손익계산서|비지배지분
연결손익계산서,기본주당손익 (단위 : 원),2Q23,2023,Q2,2023 Q2,12373,백만원,2023Q2|연결손익계산서|기본주당손익 (단위 : 원)
연결손익계산서,희석주당손익 (단위 : 원),2Q23,2023,Q2,2023 Q2,12373,백만원,2023Q2|연결손익계산서|희석주당손익 (단위 : 원)
연결손익계산서,매출액,3Q23,2023,Q3,2023 Q3,1552725,백만원,2023Q3|연결손익계산서|매출액
연결손익계산서,매출원가,3Q23,2023,Q3,2023 Q3,1223040,백만원,2023Q3|연결손익계산서|매출원가
연결손익계산서,매출총이익,3Q23,2023,Q3,2023 Q3,329684,백만원,2023Q3|연결손익계산서|매출총이익
연결손익계산서,판매비와관리비,3Q23,2023,Q3,2023 Q3,241255,백만원,2023Q3|연결손익계산서|판매비와관리비
연결손익계산서,영업이익,3Q23,2023,Q3,2023 Q3,88430,백만원,2023Q3|연결손익계산서|영업이익
연결손익계산서,지분법손익,3Q23,2023,Q3,2023 Q3,-14494,백만원,2023Q3|연결손익계산서|지분법손익
연결손익계산서,순금융손익,3Q23,2023,Q3,2023 Q3,-9376,백만원,2023Q3|연결손익계산서|순금융손익
연결손익계산서,금융수익,3Q23,2023,Q3,2023 Q3,107962,백만원,2023Q3|연결손익계산서|금융수익
연결손익계산서,금융원가,3Q23,2023,Q3,2023 Q3,-117337,백만원,2023Q3|연결손익계산서|금융원가
연결손익계산서,기타영업외손익,3Q23,2023,Q3,2023 Q3,408,백만원,2023Q3|연결손익계산서|기타영업외손익
연결손익계산서,기타이익,3Q23,2023,Q3,2023 Q3,10562,백만원,2023Q3|연결손익계산서|기타이익
연결손익계산서,기타손실,3Q23,2023,Q3,2023 Q3,-10154,백만원,2023Q3|연결손익계산서|기타손실
연결손익계산서,법인세비용차감전순손익,3Q23,2023,Q3,2023 Q3,64968,백만원,2023Q3|연결손익계산서|법인세비용차감전순손익
연결손익계산서,법인세비용(수익),3Q23,2023,Q3,2023 Q3,53730,백만원,2023Q3|연결손익계산서|법인세비용(수익)
연결손익계산서,당기순손익,3Q23,2023,Q3,2023 Q3,11238,백만원,2023Q3|연결손익계산서|당기순손익
연결손익계산서,기타포괄손익,3Q23,2023,Q3,2023 Q3,-32398,백만원,2023Q3|연결손익계산서|기타포괄손익
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q23,2023,Q3,2023 Q3,-30876,백만원,2023Q3|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목
연결손익계산서,지분법자본변동?,3Q23,2023,Q3,2023 Q3,1788,백만원,2023Q3|연결손익계산서|지분법자본변동?
연결손익계산서,현금흐름위험회피,3Q23,2023,Q3,2023 Q3,-23361,백만원,2023Q3|연결손익계산서|현금흐름위험회피
연결손익계산서,해외사업환산손익 등,3Q23,2023,Q3,2023 Q3,-9303,백만원,2023Q3|연결손익계산서|해외사업환산손익 등
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q23,2023,Q3,2023 Q3,-1523,백만원,2023Q3|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),3Q23,2023,Q3,2023 Q3,-1523,백만원,2023Q3|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)
연결손익계산서,총포괄손익,3Q23,2023,Q3,2023 Q3,-21160,백만원,2023Q3|연결손익계산서|총포괄손익
연결손익계산서,지배기업소유주지분,3Q23,2023,Q3,2023 Q3,46964,백만원,2023Q3|연결손익계산서|지배기업소유주지분
