분류	항목	기간	수치	단위
영업이익 - 도료	영업이익률(%)	1Q25	0.012	백만원
영업이익 - 도료	QoQ(%)	1Q25	0.041	백만원
영업이익 - 도료	YoY(%)	1Q25	0.002	백만원
영업이익 - 기타	기타 영업이익	1Q25	-4	백만원
영업이익 - 기타	영업이익률(%)	1Q25	-0.003	백만원
영업이익 - 기타	QoQ(%)	1Q25	 적자지속 	백만원
영업이익 - 기타	YoY(%)	1Q25	 적자지속 	백만원
당기순이익	당기순이익 (총계)	1Q25	44	백만원
당기순이익	당기순익률(%)	1Q25	0.003	백만원
당기순이익	QoQ(%)	1Q25	 흑자전환 	백만원
당기순이익	YoY(%)	1Q25	-0.09	백만원
당기순이익	지배순이익	1Q25	44	백만원
매출액	매출액 (총계)	2Q25	"1,705"	백만원
매출액	QoQ(%)	2Q25	0.007	백만원
매출액	YoY(%)	2Q25	-0.004	백만원
매출액	실리콘	2Q25	797	백만원
매출액	건자재	2Q25	252	백만원
매출액	도료	2Q25	518	백만원
매출액	기타	2Q25	138	백만원
영업이익	영업이익 (총계)	2Q25	140	백만원
영업이익	영업이익률(%)	2Q25	0.008	백만원
영업이익	QoQ(%)	2Q25	0.036	백만원
영업이익	YoY(%)	2Q25	0	백만원
영업이익 - 실리콘	실리콘 영업이익	2Q25	41	백만원
영업이익 - 실리콘	영업이익률(%)	2Q25	0.005	백만원
영업이익 - 실리콘	QoQ(%)	2Q25	0.099	백만원
영업이익 - 실리콘	YoY(%)	2Q25	0.122	백만원
영업이익 - 건자재	건자재 영업이익	2Q25	32	백만원
영업이익 - 건자재	영업이익률(%)	2Q25	0.013	백만원
영업이익 - 건자재	QoQ(%)	2Q25	0.034	백만원
영업이익 - 건자재	YoY(%)	2Q25	-0.04	백만원
영업이익 - 도료	도료 영업이익	2Q25	65	백만원
영업이익 - 도료	영업이익률(%)	2Q25	0.013	백만원
영업이익 - 도료	QoQ(%)	2Q25	0.016	백만원
영업이익 - 도료	YoY(%)	2Q25	-0.002	백만원
영업이익 - 기타	기타 영업이익	2Q25	-0.911	백만원
영업이익 - 기타	영업이익률(%)	2Q25	-0.001	백만원
영업이익 - 기타	QoQ(%)	2Q25	 적자지속 	백만원
영업이익 - 기타	YoY(%)	2Q25	 적자지속 	백만원
당기순이익	당기순이익 (총계)	2Q25	893	백만원
당기순이익	당기순익률(%)	2Q25	0.052	백만원
당기순이익	QoQ(%)	2Q25	2	백만원
당기순이익	YoY(%)	2Q25	 흑자전환 	백만원
당기순이익	지배순이익	2Q25	893	백만원
매출액	매출액 (총계)	3Q25	"1,623"	백만원
매출액	QoQ(%)	3Q25	-0.005	백만원
