지표,산출기준,기간,수치,단위
총자산이익률,(당기순이익/총자산)*100,2021-06-30,3.00,%
당기순이익,,2021-06-30," 411,350,202,183 ",원
자산총계,,2021-06-30," 13,596,381,422,597 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2021-06-30,7.20,%
당기순이익,,2021-06-30," 411,350,202,183 ",원
자기자본,,2021-06-30," 5,679,412,973,934 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2021-06-30,426.50,%
당기순이익,,2021-06-30," 411,350,202,183 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2021-06-30,9.20,%
자산총계,,2021-06-30," 13,596,381,422,597 ",원
유동비율,(유동자산/유동부채)*100,2021-09-30,122.90,%
유동자산,,2021-09-30," 3,987,358,118,748 ",원
유동부채,,2021-09-30," 3,245,584,251,915 ",원
부채비율,(부채총계/자기자본)*100,2021-09-30,143.80,%
부채총계,,2021-09-30," 7,935,874,518,694 ",원
자기자본,,2021-09-30," 5,519,848,739,702 ",원
자기자본비율,(자기자본/총자산)*100,2021-09-30,41.00,%
자기자본,,2021-09-30," 5,519,848,739,702 ",원
자산총계,,2021-09-30," 13,455,723,258,396 ",원
차입금의존도,(차입금/총자산)*100,2021-09-30,37.90,%
차입금,,2021-09-30," 5,098,292,929,000 ",원
자산총계,,2021-09-30," 13,455,723,258,396 ",원
총자산이익률,(당기순이익/총자산)*100,2021-09-30,1.30,%
당기순이익,,2021-09-30," 178,969,931,072 ",원
자산총계,,2021-09-30," 13,455,723,258,396 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2021-09-30,3.20,%
당기순이익,,2021-09-30," 178,969,931,072 ",원
자기자본,,2021-09-30," 5,519,848,739,702 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2021-09-30,흑자전환,%
당기순이익,,2021-09-30," 178,969,931,072 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2021-09-30,13.30,%
자산총계,,2021-09-30," 13,455,723,258,396 ",원
유동비율,(유동자산/유동부채)*100,2021-12-31,135.90,%
유동자산,,2021-12-31," 3,668,126,354,343 ",원
유동부채,,2021-12-31," 2,699,971,576,814 ",원
부채비율,(부채총계/자기자본)*100,2021-12-31,139.60,%
부채총계,,2021-12-31," 7,502,796,337,015 ",원
자기자본,,2021-12-31," 5,376,066,871,921 ",원
자기자본비율,(자기자본/총자산)*100,2021-12-31,41.70,%
자기자본,,2021-12-31," 5,376,066,871,921 ",원
자산총계,,2021-12-31," 12,878,863,208,936 ",원
차입금의존도,(차입금/총자산)*100,2021-12-31,35.60,%
차입금,,2021-12-31," 4,588,864,087,000 ",원
자산총계,,2021-12-31," 12,878,863,208,936 ",원
총자산이익률,(당기순이익/총자산)*100,2021-12-31,-0.40,%
당기순이익,,2021-12-31,"-53,211,168,479 ",원
자산총계,,2021-12-31," 12,878,863,208,936 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2021-12-31,-1.00,%
당기순이익,,2021-12-31,"-53,211,168,479 ",원
자기자본,,2021-12-31," 5,376,066,871,921 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2021-12-31,적자전환,%
당기순이익,,2021-12-31,"-53,211,168,479 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2021-12-31,4.30,%
자산총계,,2021-12-31," 12,878,863,208,936 ",원
유동비율,(유동자산/유동부채)*100,2022-03-31,142.60,%
유동자산,,2022-03-31," 4,388,794,552,319 ",원
유동부채,,2022-03-31," 3,077,569,330,023 ",원
부채비율,(부채총계/자기자본)*100,2022-03-31,150.50,%
부채총계,,2022-03-31," 8,061,671,409,682 ",원
자기자본,,2022-03-31," 5,357,632,354,824 ",원
자기자본비율,(자기자본/총자산)*100,2022-03-31,39.90,%
자기자본,,2022-03-31," 5,357,632,354,824 ",원
자산총계,,2022-03-31," 13,419,303,764,506 ",원
차입금의존도,(차입금/총자산)*100,2022-03-31,37.80,%
차입금,,2022-03-31," 5,066,717,399,000 ",원
자산총계,,2022-03-31," 13,419,303,764,506 ",원
총자산이익률,(당기순이익/총자산)*100,2022-03-31,0.20,%
당기순이익,,2022-03-31," 32,197,301,757 ",원
자산총계,,2022-03-31," 13,419,303,764,506 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2022-03-31,0.60,%
당기순이익,,2022-03-31," 32,197,301,757 ",원
자기자본,,2022-03-31," 5,357,632,354,824 ",원
당기순이익증가율,((당기-전기순이익)/전기순이익)*100,2022-03-31,5.80,%
당기순이익,,2022-03-31," 32,197,301,757 ",원
총자산증가율,((당기말-전기말총자산)/전기말총자산)*100,2022-03-31,3.80,%
자산총계,,2022-03-31," 13,419,303,764,506 ",원
