분류,항목,기간,수치,단위
재무상태표(연결),단기차입금,2025-09-30,9.95194E+11,원
재무상태표(연결),유동성장기차입금,2025-09-30,11918700000,원
재무상태표(연결),유동성사채,2025-09-30,1.17038E+12,원
재무상태표(연결),유동충당부채,2025-09-30,19844552300,원
재무상태표(연결),기타유동금융부채,2025-09-30,2.99131E+11,원
재무상태표(연결),미지급법인세,2025-09-30,1.31119E+11,원
재무상태표(연결),비유동부채,2025-09-30,4.67594E+12,원
재무상태표(연결),장기차입금,2025-09-30,1.59435E+12,원
재무상태표(연결),비유동사채,2025-09-30,1.28765E+12,원
재무상태표(연결),기타부채,2025-09-30,2.07993E+11,원
재무상태표(연결),순확정급여부채,2025-09-30,3.25514E+11,원
재무상태표(연결),기타장기종업원급여부채,2025-09-30,57648005768,원
재무상태표(연결),비유동충당부채,2025-09-30,23857475363,원
재무상태표(연결),이연법인세부채,2025-09-30,1.17893E+12,원
재무상태표(연결),부채총계,2025-09-30,8.76113E+12,원
재무상태표(연결),지배기업소유지분,2025-09-30,7.45075E+12,원
재무상태표(연결),자본금,2025-09-30,48084660000,원
재무상태표(연결),자본잉여금,2025-09-30,3.49759E+11,원
재무상태표(연결),자본조정,2025-09-30,-5.0435E+11,원
재무상태표(연결),기타포괄손익누계액,2025-09-30,9.71447E+11,원
재무상태표(연결),이익잉여금,2025-09-30,6.58581E+12,원
재무상태표(연결),자본총계,2025-09-30,7.45075E+12,원
재무상태표(연결),부채및자본총계,2025-09-30,1.62119E+13,원
