기준일,연도,분기,기간표준,지표,수치,단위,산출기준,search_tag,search_text,fact_text
2021-12-31,2021,Q4,2021 Q4,부채비율,139.6,%,(부채총계/자기자본)*100,2021Q4|주요재무지표|부채비율|%,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 부채비율 | 주요재무지표 | 부채비율 | debt ratio | % | (부채총계/자기자본)*100,2021년 4분기 주요재무지표 기준 부채비율은 139.6%입니다. 산출기준은 (부채총계/자기자본)*100입니다.
2021-12-31,2021,Q4,2021 Q4,부채총계,7502796.0,백만원,,2021Q4|주요재무지표|부채총계|백만원,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 부채총계 | 주요재무지표 | 부채총계 | total liabilities | 총부채 | 백만원,2021년 4분기 주요재무지표 기준 부채총계은 7502796.0백만원입니다.
2021-12-31,2021,Q4,2021 Q4,자기자본,5376067.0,백만원,,2021Q4|주요재무지표|자기자본|백만원,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 자기자본 | 주요재무지표 | 자기자본 | equity | 자본 | equity ratio | 백만원,2021년 4분기 주요재무지표 기준 자기자본은 5376067.0백만원입니다.
2021-12-31,2021,Q4,2021 Q4,자기자본비율,41.7,%,(자기자본/총자산)*100,2021Q4|주요재무지표|자기자본비율|%,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 자기자본비율 | 주요재무지표 | 자기자본비율 | equity | 자본 | equity ratio | % | (자기자본/총자산)*100,2021년 4분기 주요재무지표 기준 자기자본비율은 41.7%입니다. 산출기준은 (자기자본/총자산)*100입니다.
2021-12-31,2021,Q4,2021 Q4,자산총계,12878863.0,백만원,,2021Q4|주요재무지표|자산총계|백만원,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 자산총계 | 주요재무지표 | 자산총계 | total assets | 총자산 | assets | 백만원,2021년 4분기 주요재무지표 기준 자산총계은 12878863.0백만원입니다.
2021-12-31,2021,Q4,2021 Q4,차입금의존도,35.6,%,(차입금/총자산)*100,2021Q4|주요재무지표|차입금의존도|%,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 차입금의존도 | 주요재무지표 | 차입금의존도 | borrowings dependence | borrowings | debt | % | (차입금/총자산)*100,2021년 4분기 주요재무지표 기준 차입금의존도은 35.6%입니다. 산출기준은 (차입금/총자산)*100입니다.
2021-12-31,2021,Q4,2021 Q4,차입금,4588864.0,백만원,,2021Q4|주요재무지표|차입금|백만원,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 차입금 | 주요재무지표 | 차입금 | borrowings dependence | borrowings | debt | 백만원,2021년 4분기 주요재무지표 기준 차입금은 4588864.0백만원입니다.
2021-12-31,2021,Q4,2021 Q4,총자산이익률,-0.4,%,(당기순이익/총자산)*100,2021Q4|주요재무지표|총자산이익률|%,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 총자산이익률 | 주요재무지표 | 총자산이익률 | % | (당기순이익/총자산)*100,2021년 4분기 주요재무지표 기준 총자산이익률은 -0.4%입니다. 산출기준은 (당기순이익/총자산)*100입니다.
2021-12-31,2021,Q4,2021 Q4,당기순이익,-53211.0,백만원,,2021Q4|주요재무지표|당기순이익|백만원,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 당기순이익 | 주요재무지표 | 당기순이익 | 백만원,2021년 4분기 주요재무지표 기준 당기순이익은 -53211.0백만원입니다.
2021-12-31,2021,Q4,2021 Q4,자기자본순이익률(roe),-1.0,%,(당기순이익/자기자본)*100,2021Q4|주요재무지표|자기자본순이익률(roe)|%,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 자기자본순이익률(roe) | 주요재무지표 | 자기자본순이익률(roe) | equity | 자본 | % | (당기순이익/자기자본)*100,2021년 4분기 주요재무지표 기준 자기자본순이익률(roe)은 -1.0%입니다. 산출기준은 (당기순이익/자기자본)*100입니다.
2021-12-31,2021,Q4,2021 Q4,당기순이익증가율,,%,((당기-전기순이익)/전기순이익)*100,2021Q4|주요재무지표|당기순이익증가율|%,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 당기순이익증가율 | 주요재무지표 | 당기순이익증가율 | % | ((당기-전기순이익)/전기순이익)*100,2021년 4분기 주요재무지표 기준 당기순이익증가율은 nan%입니다. 산출기준은 ((당기-전기순이익)/전기순이익)*100입니다.
