재무제표,계정과목,기간,금액,단위
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),4Q24,"-1,021 ",백만원
연결손익계산서,총포괄손익,4Q24,"-72,038 ",백만원
연결손익계산서,지배기업소유주지분,4Q24,"-86,468 ",백만원
연결손익계산서,지배기업소유주지분,4Q24,"-72,038 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),4Q24,"-11,757 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),4Q24,"-11,757 ",백만원
연결손익계산서,매출액,1Q25," 1,599,305 ",백만원
연결손익계산서,매출원가,1Q25," 1,204,396 ",백만원
연결손익계산서,매출총이익,1Q25," 394,909 ",백만원
연결손익계산서,판매비와관리비,1Q25," 291,466 ",백만원
연결손익계산서,영업이익,1Q25," 103,444 ",백만원
연결손익계산서,지분법손익,1Q25," 6,099 ",백만원
연결손익계산서,순금융손익,1Q25,"-50,670 ",백만원
연결손익계산서,금융수익,1Q25," 179,436 ",백만원
연결손익계산서,금융원가,1Q25,"-230,105 ",백만원
연결손익계산서,기타영업외손익,1Q25," 16,522 ",백만원
연결손익계산서,기타이익,1Q25," 44,443 ",백만원
연결손익계산서,기타손실,1Q25,"-27,922 ",백만원
연결손익계산서,법인세비용차감전순손익,1Q25," 75,395 ",백만원
연결손익계산서,법인세비용(수익),1Q25," 31,345 ",백만원
연결손익계산서,당기순손익,1Q25," 44,050 ",백만원
연결손익계산서,기타포괄손익,1Q25," 1,016,411 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q25," 64,913 ",백만원
연결손익계산서,지분법자본변동?,1Q25," 3,690 ",백만원
연결손익계산서,해외사업환산손익 등,1Q25," 61,223 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q25," 951,498 ",백만원
연결손익계산서,지분법자본변동,1Q25," 45,323 ",백만원
연결손익계산서,재평가이익,1Q25," 907,418 ",백만원
연결손익계산서,지분법이익잉여금 ?,1Q25," 1,026 ",백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q25,"-2,269 ",백만원
연결손익계산서,총포괄손익,1Q25," 1,060,461 ",백만원
연결손익계산서,지배기업소유주지분,1Q25," 44,050 ",백만원
연결손익계산서,지배기업소유주지분,1Q25," 1,060,461 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),1Q25," 5,990 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),1Q25," 5,990 ",백만원
연결손익계산서,매출액,2Q25," 1,705,264 ",백만원
연결손익계산서,매출원가,2Q25," 1,267,996 ",백만원
연결손익계산서,매출총이익,2Q25," 437,268 ",백만원
연결손익계산서,판매비와관리비,2Q25," 296,887 ",백만원
연결손익계산서,영업이익,2Q25," 140,381 ",백만원
연결손익계산서,지분법손익,2Q25," 2,785 ",백만원
연결손익계산서,순금융손익,2Q25," 1,129,283 ",백만원
연결손익계산서,금융수익,2Q25," 1,327,922 ",백만원
연결손익계산서,금융원가,2Q25,"-198,639 ",백만원
연결손익계산서,기타영업외손익,2Q25,"-5,680 ",백만원
연결손익계산서,기타이익,2Q25," 11,915 ",백만원
연결손익계산서,기타손실,2Q25,"-17,595 ",백만원
연결손익계산서,법인세비용차감전순손익,2Q25," 1,266,769 ",백만원
연결손익계산서,법인세비용(수익),2Q25," 373,498 ",백만원
연결손익계산서,당기순손익,2Q25," 893,271 ",백만원
연결손익계산서,기타포괄손익,2Q25,"-84,266 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,2Q25,"-86,319 ",백만원
연결손익계산서,지분법자본변동?,2Q25,-920 ,백만원
연결손익계산서,해외사업환산손익 등,2Q25,"-85,400 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,2Q25," 2,053 ",백만원
연결손익계산서,재평가이익,2Q25," 1,330 ",백만원
연결손익계산서,지분법이익잉여금 ?,2Q25,-25 ,백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q25, 749 ,백만원
연결손익계산서,총포괄손익,2Q25," 809,005 ",백만원
연결손익계산서,지배기업소유주지분,2Q25," 893,271 ",백만원
연결손익계산서,지배기업소유주지분,2Q25," 809,005 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),2Q25," 121,465 ",백만원
