data_type,account_name,date,year,quarter,value_raw
재무상태표,선급금,2023-09-30,2023,Q3,"6,107,374,531"
재무상태표,선급비용,2023-09-30,2023,Q3,"10,172,769,263"
재무상태표,기타유동금융자산,2023-09-30,2023,Q3,"12,529,818,396"
재무상태표,미수법인세환급액,2023-09-30,2023,Q3,
재무상태표,재고자산,2023-09-30,2023,Q3,"504,782,223,952"
재무상태표,매각예정분류자산,2023-09-30,2023,Q3,"22,482,063,000"
재무상태표,소유주분배예정자산집단,2023-09-30,2023,Q3,
재무상태표,비유동자산,2023-09-30,2023,Q3,"6,915,116,852,934"
재무상태표,장기매출채권,2023-09-30,2023,Q3,"1,529,854,952"
재무상태표,장기매출채권 및 기타비유동채권,2023-09-30,2023,Q3,
재무상태표,기타채권,2023-09-30,2023,Q3,"56,971,750,934"
재무상태표,기타비유동금융자산,2023-09-30,2023,Q3,"2,315,995,321,301"
재무상태표,관계기업 및 공동기업투자,2023-09-30,2023,Q3,"558,324,382,182"
재무상태표,종속기업투자,2023-09-30,2023,Q3,"1,611,693,668,606"
재무상태표,사용권자산,2023-09-30,2023,Q3,"29,263,652,930"
재무상태표,유형자산,2023-09-30,2023,Q3,"1,660,969,350,616"
재무상태표,무형자산,2023-09-30,2023,Q3,"8,074,699,267"
재무상태표,투자부동산,2023-09-30,2023,Q3,"640,515,149,940"
재무상태표,순확정급여자산,2023-09-30,2023,Q3,"31,779,022,206"
재무상태표,자산총계,2023-09-30,2023,Q3,"9,316,649,912,754"
재무상태표,부채,2023-09-30,2023,Q3,
재무상태표,유동부채,2023-09-30,2023,Q3,"2,598,171,753,872"
재무상태표,매입채무,2023-09-30,2023,Q3,"259,248,559,100"
재무상태표,매입채무 및 기타유동채무,2023-09-30,2023,Q3,
재무상태표,기타부채,2023-09-30,2023,Q3,"522,987,886,582"
재무상태표,단기차입금,2023-09-30,2023,Q3,"818,886,430,494"
재무상태표,유동성장기차입금,2023-09-30,2023,Q3,"440,344,000,000"
재무상태표,유동성사채,2023-09-30,2023,Q3,"519,858,277,906"
재무상태표,유동파생상품부채,2023-09-30,2023,Q3,
재무상태표,유동충당부채,2023-09-30,2023,Q3,"2,573,684,460"
재무상태표,기타유동금융부채,2023-09-30,2023,Q3,
재무상태표,미지급법인세,2023-09-30,2023,Q3,"34,272,915,330"
재무상태표,소유주분배예정부채집단,2023-09-30,2023,Q3,
재무상태표,비유동부채,2023-09-30,2023,Q3,"1,572,846,799,280"
재무상태표,장기차입금,2023-09-30,2023,Q3,"227,716,382,519"
재무상태표,비유동사채,2023-09-30,2023,Q3,"918,321,732,118"
재무상태표,기타부채,2023-09-30,2023,Q3,"88,527,421,687"
재무상태표,기타비유동금융부채,2023-09-30,2023,Q3,"3,749,294,669"
재무상태표,순확정급여부채,2023-09-30,2023,Q3,
재무상태표,기타장기종업원급여부채,2023-09-30,2023,Q3,"4,312,392,054"
재무상태표,비유동충당부채,2023-09-30,2023,Q3,"764,586,185"
재무상태표,이연법인세부채,2023-09-30,2023,Q3,"329,454,990,048"
재무상태표,종업원급여부채,2023-09-30,2023,Q3,
재무상태표,부채총계,2023-09-30,2023,Q3,"4,171,018,553,152"
재무상태표,자본,2023-09-30,2023,Q3,
재무상태표,자본금,2023-09-30,2023,Q3,"48,084,660,000"
재무상태표,자본잉여금,2023-09-30,2023,Q3,"553,070,812,612"
재무상태표,자본조정,2023-09-30,2023,Q3,"-304,846,768,510"
재무상태표,기타포괄손익누계액,2023-09-30,2023,Q3,"-31,507,912,815"
재무상태표,이익잉여금,2023-09-30,2023,Q3,"4,880,830,568,315"
재무상태표,자본총계,2023-09-30,2023,Q3,"5,145,631,359,602"
재무상태표,부채및자본총계,2023-09-30,2023,Q3,"9,316,649,912,754"
재무상태표,nan,2023-09-30,2023,Q3,
